"FinalUniqu","County","AltCounty1","AltCounty2","Region","Name","X","Y","Estab","ChangeDate","ChangeName","ChangeDa_1","ChangeNa_1","Dis1","Reestab1","Dis2","Reestab2","Dis3","Reestab3","Disc4","TotalChang","F22","F23","F24","F25"
"Abrams1895","Trinity"," "," ","North Coast","Abrams","-122.777778","41.102778","2/12/1895"," "," "," "," ","12/16/1895","8/18/1896"," "," "," "," "," ","3"," "," "," "," "
"Academy1876","Fresno"," "," ","South San Joaquin Valley","Academy","-119.538745","36.88745","5/8/1876"," "," "," "," ","7/6/1877","4/22/1892"," "," "," "," "," ","3"," "," "," "," "
"Acampo1872","San Joaquin"," "," ","North San Joaquin Valley","Acampo","-121.278558","38.174917","8/28/1872"," "," "," "," "," "," "," "," "," "," "," ","1"," "," "," "," "
"Ackerman1896","Placer"," "," ","South Sacramento Valley","Ackerman","-120.561728","39.19068","11/28/1896"," "," "," "," ","8/31/1899"," "," "," "," "," "," ","2"," "," "," "," "
"Acron1891","Humboldt"," "," ","North Coast","Acron","-123.882184","40.965059","6/10/1891"," "," "," "," "," "," "," "," "," "," "," ","1"," "," "," "," "
"Acton1887","Los Angeles"," "," ","South Coast","Acton","-118.195352","34.468327","12/13/1887"," "," "," "," "," "," "," "," "," "," "," ","1"," "," "," "," "
"Addington1890","Lassen"," "," ","Northeast","Addington","-120.621017","40.894073","11/25/1890"," "," "," "," ","4/26/1892"," "," "," "," "," "," ","2"," "," "," "," "
"Adelaida1877","San Luis Obispo"," "," ","Central Coast","Adelaida","-120.873514","35.645525","3/16/1877"," "," "," "," "," "," "," "," "," "," "," ","1"," "," "," "," "
"Adelante1870","Napa"," "," ","San Francisco Bay","Adelante","-122.25","38.1875","1/1/1870"," "," "," "," ","3/2/1871"," "," "," "," "," "," ","2"," "," "," "," "
"Adele1889","Humboldt"," "," ","North Coast","Adele","-124.21506","40.724571","2/9/1889","12/14/1889","Fields Landing"," "," "," "," "," "," "," "," "," ","2"," "," "," "," "
"Advance1890","Tulare"," "," ","South San Joaquin Valley","Advance","-118.902601","36.51578","5/17/1890","12/22/1890","Kaweah2"," "," "," "," "," "," "," "," "," ","2"," "," "," "," "
"Agnew1884","Santa Clara"," "," ","San Francisco Bay","Agnew","-121.959125","37.394662","5/9/1884"," "," "," "," ","2/25/1890","4/19/1890"," "," "," "," "," ","3"," "," "," "," "
"AguaCaliente1886","Sonoma"," "," ","San Francisco Bay","Agua Caliente","-122.486111","38.323611","7/23/1886"," "," "," "," "," "," "," "," "," "," "," ","1"," "," "," "," "
"AguaTibia1886","San Diego"," "," ","South Coast","Agua Tibia","-117.02225","33.361144","5/24/1886"," "," "," "," ","10/9/1888"," "," "," "," "," "," ","2"," "," "," "," "
"Ahwahnee1893","Madera","San Diego"," ","North San Joaquin Valley","Ahwahnee","-119.726266","37.365498","2/1/1893"," "," "," "," ","12/2/1896","12/28/1896"," "," "," "," "," ","3"," "," "," "," "
