split,split1,split2,split3,split4,split5,split6,split7,split8,split9,split10,split11,split12,split13,split14,split15,split16,split17,split18,split19,split20,split21,split22,split23,split24
"FinalUniqu","County","AltCounty1","AltCounty2","Region","Name","X","Y","Estab","ChangeDate","ChangeName","ChangeDa_1","ChangeNa_1","Dis1","Reestab1","Dis2","Reestab2","Dis3","Reestab3","Disc4","TotalChang","F22","F23","F24","F25"
"Abrams1895","Trinity"," "," ","North Coast","Abrams","-122.777778","41.102778","2/12/1895"," "," "," "," ","12/16/1895","8/18/1896"," "," "," "," "," ","3"," "," "," "," "
"Academy1876","Fresno"," "," ","South San Joaquin Valley","Academy","-119.538745","36.88745","5/8/1876"," "," "," "," ","7/6/1877","4/22/1892"," "," "," "," "," ","3"," "," "," "," "
"Ackerman1896","Placer"," "," ","South Sacramento Valley","Ackerman","-120.561728","39.19068","11/28/1896"," "," "," "," ","8/31/1899"," "," "," "," "," "," ","2"," "," "," "," "
"Addington1890","Lassen"," "," ","Northeast","Addington","-120.621017","40.894073","11/25/1890"," "," "," "," ","4/26/1892"," "," "," "," "," "," ","2"," "," "," "," "
"Adelante1870","Napa"," "," ","San Francisco Bay","Adelante","-122.25","38.1875","1/1/1870"," "," "," "," ","3/2/1871"," "," "," "," "," "," ","2"," "," "," "," "
"Agnew1884","Santa Clara"," "," ","San Francisco Bay","Agnew","-121.959125","37.394662","5/9/1884"," "," "," "," ","2/25/1890","4/19/1890"," "," "," "," "," ","3"," "," "," "," "
"AguaTibia1886","San Diego"," "," ","South Coast","Agua Tibia","-117.02225","33.361144","5/24/1886"," "," "," "," ","10/9/1888"," "," "," "," "," "," ","2"," "," "," "," "
"Ahwahnee1893","Madera","San Diego"," ","North San Joaquin Valley","Ahwahnee","-119.726266","37.365498","2/1/1893"," "," "," "," ","12/2/1896","12/28/1896"," "," "," "," "," ","3"," "," "," "," "
"Alden1899","Alameda"," "," ","San Francisco Bay","Alden","-122.270833","37.804167","4/6/1899"," "," "," "," ","2/10/00"," "," "," "," "," "," ","2"," "," "," "," "
"Alexanderville1871","Sonoma"," "," ","San Francisco Bay","Alexanderville","-122.819715","38.666575","6/13/1871"," "," "," "," ","5/5/1873","6/23/1879","8/2/1880"," "," "," "," ","4"," "," "," "," "
"Alexandria1870","Merced"," "," ","North San Joaquin Valley","Alexandria","-120.606114","37.397504","1/1/1870"," "," "," "," ","10/12/1870"," "," "," "," "," "," ","2"," "," "," "," "
"Alfa1888","Shasta"," "," ","North Sacramento Valley","Alfa","-121.612165","41.107901","3/14/1888"," "," "," "," ","7/10/1895"," "," "," "," "," "," ","2"," "," "," "," "
"Alila1885","Tulare"," "," ","South San Joaquin Valley","Alila","-119.27494","35.88643","11/11/1885"," "," "," "," ","11/15/1893","11/2/1896","9/15/1899"," "," "," "," ","4"," "," "," "," "
"Allendale1876","Solano"," "," ","San Francisco Bay","Allendale","-121.94189","38.44618","1/6/1876"," "," "," "," ","11/13/1884"," "," "," "," "," "," ","2"," "," "," "," "
"AllenSprings1874","Lake"," "," ","North Coast","Allen Springs","-122.663889","39.159722","9/10/1874"," "," "," "," ","2/24/1885","7/14/1885","1/9/1894","5/2/1896"," "," "," ","5"," "," "," "," "
"Alosta1883","Los Angeles"," "," ","South Coast","Alosta","-117.867005","34.138063","4/25/1883","4/29/1887","Glendora"," "," ","1/23/1899"," "," "," "," "," "," ","3"," "," "," "," "
"Altoona1876","Trinity"," "," ","North Coast","Altoona","-122.750824","41.148727","1/12/1876"," "," "," "," ","10/4/1876","1/2/1876","9/2/1880"," "," "," "," ","4"," "," "," "," "
"Amargo1880","Los Angeles"," "," ","South Coast","Amargo","-118.755556","34.143056","4/7/1880"," "," "," "," ","6/23/1884"," "," "," "," "," "," ","2"," "," "," "," "
"America1881","Sonoma"," "," ","San Francisco Bay","America","-122.627943","38.547372","11/7/1881"," "," "," "," ","2/7/1887","4/2/1887"," "," "," "," "," ","3"," "," "," "," "
"Amsterdam1893","Merced"," "," ","North San Joaquin Valley","Amsterdam","-120.542139","37.430215","3/27/1893"," "," "," "," ","7/16/1895"," "," "," "," "," "," ","2"," "," "," "," "
"Anaheim1870","Orange","Los Angeles"," ","South Coast","Anaheim","-117.938055","33.841388","1/1/1870"," "," "," "," ","6/30/1880","7/1/1880"," "," "," "," "," ","3"," "," "," "," "
"Annadel1892","Sonoma"," "," ","San Francisco Bay","Annadel","-122.6","38.440278","9/22/1892"," "," "," "," ","7/25/1893"," "," "," "," "," "," ","2"," "," "," "," "
"AnthonyHouse1870","Nevada"," "," ","South Sacramento Valley","Anthony House","-120.2125","39.233889","1/1/1870"," "," "," "," ","1/30/1877","3/17/1877"," "," "," "," "," ","3"," "," "," "," "
"Apex1881","San Diego"," "," ","South Coast","Apex","-117.075","33.125","2/17/1881"," "," "," "," ","4/24/1884"," "," "," "," "," "," ","2"," "," "," "," "
"ArchBeach1889","Orange","Los Angeles"," ","South Coast","Arch Beach","-117.764776","33.521693","6/21/1889"," "," "," "," ","5/26/1892"," "," "," "," "," "," ","2"," "," "," "," "
"Argusville1873","Lassen"," "," ","Northeast","Argusville","-121.157606","41.161449","7/30/1873"," "," "," "," ","3/22/1878"," "," "," "," "," "," ","2"," "," "," "," "
"Arlington1881","San Bernardino"," "," ","Southeast","Arlington","-117.445833","33.920833","6/15/1881"," "," "," "," ","11/23/1882"," "," "," "," "," "," ","2"," "," "," "," "
"ArrowheadSprings1887","San Bernardino"," "," ","Southeast","Arrowhead Springs","-117.261709","34.186675","5/13/1887"," "," "," "," ","7/13/1895"," "," "," "," "," "," ","2"," "," "," "," "
"Asphalto1893","Kern"," "," ","South San Joaquin Valley","Asphalto","-119.600956","35.304686","10/30/1893"," "," "," "," ","9/25/1894","8/31/1895"," "," "," "," "," ","3"," "," "," "," "
"Atkinson1878","San Diego"," "," ","South Coast","Atkinson","-116.905426","32.875427","6/7/1878"," "," "," "," ","10/5/1880"," "," "," "," "," "," ","2"," "," "," "," "
"Atlanta1870","San Joaquin"," "," ","North San Joaquin Valley","Atlanta","-121.120772","37.812982","1/1/1870"," "," "," "," ","4/5/1876","5/1/1876","5/16/1887","4/3/1888"," "," "," ","5"," "," "," "," "
"Austin1881","Sonoma"," "," ","San Francisco Bay","Austin","-123.086111","38.530556","8/15/1881","6/23/1886","Ingrams"," "," ","4/24/1889"," "," "," "," "," "," ","3"," "," "," "," "
"Avena1880","Inyo"," "," ","East Sierra","Avena","-118.395833","37.3625","10/4/1880"," "," "," "," ","6/16/1885"," "," "," "," "," "," ","2"," "," "," "," "
"Avon1889","Butte"," "," ","North Sacramento Valley","Avon","-121.750806","39.510564","6/5/1889"," "," "," "," ","6/15/1899"," "," "," "," "," "," ","2"," "," "," "," "
"Bairdstown1875","San Bernardino"," "," ","Southeast","Bairdstown","-116.820833","34.298611","2/1/1875"," "," "," "," ","9/28/1877"," "," "," "," "," "," ","2"," "," "," "," "
"Baker1880","Tuolumne"," "," ","North San Joaquin Valley","Baker","-119.755556","38.330556","9/27/1880"," "," "," "," ","8/4/1881"," "," "," "," "," "," ","2"," "," "," "," "
"BaldHills1874","Klamath","Humboldt"," "," ","Bald Hills","-123.955345","41.219013","6/19/1874"," "," "," "," ","1/23/1878"," "," "," "," "," "," ","2"," "," "," "," "
